#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Choix des valeurs pour le circuit suivant :
#_____/\/\/\____  
#|      R      _|_
#E           C ---
#|______________|
#Valeur de R (Ohm) : 
#Valeur de C (Farad) : 
#Temps   Ve   Vs   
0.01   0   0
0.02   0   0
0.03   0   0
0.04   0   0
0.05   0   0
0.06   0   0
0.07   0   0
0.08   0   0
0.09   0   0
0.1   0   0
0.11   0   0
0.12   0   0
0.13   0   0
0.14   0   0
0.15   0   0
0.16   0   0
0.17   0   0
0.18   0   0
0.19   0   0
0.2   0   0
0.21   0   0
0.22   0   0
0.23   0   0
0.24   0   0
0.25   0   0
0.26   0   0
0.27   0   0
0.28   0   0
0.29   0   0
0.3   0   0
0.31   0   0
0.32   0   0
0.33   0   0
0.34   0   0
0.35   0   0
0.36   0   0
0.37   0   0
0.38   0   0
0.39   0   0
0.4   0   0
0.41   0   0
0.42   0   0
0.43   0   0
0.44   0   0
0.45   0   0
0.46   0   0
0.47   0   0
0.48   0   0
0.49   0   0
0.5   0   0
0.51   0   0
0.52   0   0
0.53   0   0
0.54   0   0
0.55   0   0
0.56   0   0
0.57   0   0
0.58   0   0
0.59   0   0
0.6   0   0
0.61   0   0
0.62   0   0
0.63   0   0
0.64   0   0
0.65   0   0
0.66   0   0
0.67   0   0
0.68   0   0
0.69   0   0
0.7   0   0
0.71   0   0
0.72   0   0
0.73   0   0
0.74   0   0
0.75   0   0
0.76   0   0
0.77   0   0
0.78   0   0
0.79   0   0
0.8   0   0
0.81   0   0
0.82   0   0
0.83   0   0
0.84   0   0
0.85   0   0
0.86   0   0
0.87   0   0
0.88   0   0
0.89   0   0
0.9   0   0
0.91   0   0
0.92   0   0
0.93   0   0
0.94   0   0
0.95   0   0
0.96   0   0
0.97   0   0
0.98   0   0
0.99   0   0
1   5   0
1.01   5   0.05
1.02   5   0.0995
1.03   5   0.1485
1.04   5   0.197
1.05   5   0.245
1.06   5   0.2926
1.07   5   0.3397
1.08   5   0.3863
1.09   5   0.4324
1.1   5   0.4781
1.11   5   0.5233
1.12   5   0.5681
1.13   5   0.6124
1.14   5   0.6563
1.15   5   0.6997
1.16   5   0.7427
1.17   5   0.7853
1.18   5   0.8274
1.19   5   0.8692
1.2   5   0.9105
1.21   5   0.9514
1.22   5   0.9918
1.23   5   1.032
1.24   5   1.072
1.25   5   1.111
1.26   5   1.15
1.27   5   1.188
1.28   5   1.226
1.29   5   1.264
1.3   5   1.301
1.31   5   1.338
1.32   5   1.375
1.33   5   1.411
1.34   5   1.447
1.35   5   1.483
1.36   5   1.518
1.37   5   1.553
1.38   5   1.587
1.39   5   1.621
1.4   5   1.655
1.41   5   1.689
1.42   5   1.722
1.43   5   1.754
1.44   5   1.787
1.45   5   1.819
1.46   5   1.851
1.47   5   1.882
1.48   5   1.914
1.49   5   1.944
1.5   5   1.975
1.51   5   2.005
1.52   5   2.035
1.53   5   2.065
1.54   5   2.094
1.55   5   2.123
1.56   5   2.152
1.57   5   2.18
1.58   5   2.209
1.59   5   2.237
1.6   5   2.264
1.61   5   2.292
1.62   5   2.319
1.63   5   2.345
1.64   5   2.372
1.65   5   2.398
1.66   5   2.424
1.67   5   2.45
1.68   5   2.476
1.69   5   2.501
1.7   5   2.526
1.71   5   2.551
1.72   5   2.575
1.73   5   2.599
1.74   5   2.623
1.75   5   2.647
1.76   5   2.671
1.77   5   2.694
1.78   5   2.717
1.79   5   2.74
1.8   5   2.762
1.81   5   2.785
1.82   5   2.807
1.83   5   2.829
1.84   5   2.851
1.85   5   2.872
1.86   5   2.893
1.87   5   2.914
1.88   5   2.935
1.89   5   2.956
1.9   5   2.976
1.91   5   2.997
1.92   5   3.017
1.93   5   3.036
1.94   5   3.056
