#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Choix des valeurs pour le circuit suivant :
#_____/\/\/\____|\______________  
#|      Rd      |/       |     |
#|                 D     /    _|_
#E                     R \    --- C 
#|                       /     |
#|_______________________|_____|
#Valeur de Rd (Ohm) : 
#Valeur de R (Ohm) : 
#Valeur de C (Farad) : 
#Temps   Ve   Vs   Vd
#Diode passante
0.01   0   -0.006   0.6
0.02   0   -0.01188   0.588
#Diode bloquee
0.03   0   -0.01176   -0.01188
0.04   0   -0.01164   -0.01176
0.05   0   -0.01153   -0.01164
0.06   0   -0.01141   -0.01153
0.07   0   -0.0113   -0.01141
0.08   0   -0.01118   -0.0113
0.09   0   -0.01107   -0.01118
0.1   0   -0.01096   -0.01107
0.11   0   -0.01085   -0.01096
0.12   0   -0.01074   -0.01085
0.13   0   -0.01064   -0.01074
0.14   0   -0.01053   -0.01064
0.15   0   -0.01042   -0.01053
0.16   0   -0.01032   -0.01042
0.17   0   -0.01022   -0.01032
0.18   0   -0.01012   -0.01022
0.19   0   -0.01001   -0.01012
0.2   0   -0.009914   -0.01001
0.21   0   -0.009815   -0.009914
0.22   0   -0.009717   -0.009815
0.23   0   -0.00962   -0.009717
0.24   0   -0.009523   -0.00962
0.25   0   -0.009428   -0.009523
0.26   0   -0.009334   -0.009428
0.27   0   -0.009241   -0.009334
0.28   0   -0.009148   -0.009241
0.29   0   -0.009057   -0.009148
0.3   0   -0.008966   -0.009057
0.31   0   -0.008876   -0.008966
0.32   0   -0.008788   -0.008876
0.33   0   -0.0087   -0.008788
0.34   0   -0.008613   -0.0087
0.35   0   -0.008527   -0.008613
0.36   0   -0.008441   -0.008527
0.37   0   -0.008357   -0.008441
0.38   0   -0.008273   -0.008357
0.39   0   -0.008191   -0.008273
0.4   0   -0.008109   -0.008191
0.41   0   -0.008028   -0.008109
0.42   0   -0.007947   -0.008028
0.43   0   -0.007868   -0.007947
0.44   0   -0.007789   -0.007868
0.45   0   -0.007711   -0.007789
0.46   0   -0.007634   -0.007711
0.47   0   -0.007558   -0.007634
0.48   0   -0.007482   -0.007558
0.49   0   -0.007407   -0.007482
0.5   0   -0.007333   -0.007407
0.51   0   -0.00726   -0.007333
0.52   0   -0.007187   -0.00726
0.53   0   -0.007116   -0.007187
0.54   0   -0.007044   -0.007116
0.55   0   -0.006974   -0.007044
0.56   0   -0.006904   -0.006974
0.57   0   -0.006835   -0.006904
0.58   0   -0.006767   -0.006835
0.59   0   -0.006699   -0.006767
0.6   0   -0.006632   -0.006699
0.61   0   -0.006566   -0.006632
0.62   0   -0.0065   -0.006566
0.63   0   -0.006435   -0.0065
0.64   0   -0.006371   -0.006435
0.65   0   -0.006307   -0.006371
0.66   0   -0.006244   -0.006307
0.67   0   -0.006182   -0.006244
0.68   0   -0.00612   -0.006182
0.69   0   -0.006059   -0.00612
0.7   0   -0.005998   -0.006059
0.71   0   -0.005938   -0.005998
0.72   0   -0.005879   -0.005938
0.73   0   -0.00582   -0.005879
0.74   0   -0.005762   -0.00582
0.75   0   -0.005704   -0.005762
0.76   0   -0.005647   -0.005704
0.77   0   -0.005591   -0.005647
0.78   0   -0.005535   -0.005591
0.79   0   -0.005479   -0.005535
0.8   0   -0.005425   -0.005479
0.81   0   -0.00537   -0.005425
0.82   0   -0.005317   -0.00537
0.83   0   -0.005263   -0.005317
0.84   0   -0.005211   -0.005263
0.85   0   -0.005159   -0.005211
0.86   0   -0.005107   -0.005159
0.87   0   -0.005056   -0.005107
0.88   0   -0.005005   -0.005056
0.89   0   -0.004955   -0.005005
0.9   0   -0.004906   -0.004955
0.91   0   -0.004857   -0.004906
0.92   0   -0.004808   -0.004857
0.93   0   -0.00476   -0.004808
0.94   0   -0.004713   -0.00476
0.95   0   -0.004665   -0.004713
0.96   0   -0.004619   -0.004665
0.97   0   -0.004573   -0.004619
0.98   0   -0.004527   -0.004573
0.99   0   -0.004482   -0.004527
1   5   -0.004437   4.996
#Diode passante
1.01   5   0.03965   0.5911
#Diode bloquee
1.02   5   0.03926   5.04
#Diode passante
1.03   5   0.08247   0.6785
1.04   5   0.1248   0.7649
1.05   5   0.1663   0.8496
1.06   5   0.207   0.9326
1.07   5   0.2469   1.014
1.08   5   0.2859   1.094
1.09   5   0.3242   1.172
1.1   5   0.3617   1.248
1.11   5   0.3985   1.323
1.12   5   0.4345   1.397
1.13   5   0.4698   1.469
1.14   5   0.5044   1.54
1.15   5   0.5383   1.609
1.16   5   0.5716   1.677
1.17   5   0.6041   1.743
1.18   5   0.6361   1.808
1.19   5   0.6673   1.872
1.2   5   0.698   1.935
1.21   5   0.728   1.996
1.22   5   0.7575   2.056
1.23   5   0.7863   2.115
1.24   5   0.8146   2.173
1.25   5   0.8423   2.229
1.26   5   0.8695   2.285
1.27   5   0.8961   2.339
1.28   5   0.9221   2.392
1.29   5   0.9477   2.444
1.3   5   0.9727   2.495
1.31   5   0.9973   2.545
1.32   5   1.021   2.595
1.33   5   1.045   2.643
1.34   5   1.068   2.69
1.35   5   1.091   2.736
1.36   5   1.113   2.781
1.37   5   1.135   2.826
1.38   5   1.156   2.869
1.39   5   1.177   2.912
1.4   5   1.197   2.954
1.41   5   1.217   2.994
1.42   5   1.237   3.035
1.43   5   1.256   3.074
1.44   5   1.275   3.112
1.45   5   1.294   3.15
1.46   5   1.312   3.187
1.47   5   1.329   3.223
1.48   5   1.347   3.259
1.49   5   1.364   3.294
1.5   5   1.381   3.328
1.51   5   1.397   3.361
1.52   5   1.413   3.394
1.53   5   1.429   3.426
1.54   5   1.444   3.458
1.55   5   1.459   3.489
1.56   5   1.474   3.519
1.57   5   1.489   3.548
1.58   5   1.503   3.577
1.59   5   1.517   3.606
1.6   5   1.531   3.634
1.61   5   1.544   3.661
1.62   5   1.557   3.688
1.63   5   1.57   3.714
1.64   5   1.583   3.74
1.65   5   1.595   3.765
1.66   5   1.607   3.79
1.67   5   1.619   3.814
1.68   5   1.63   3.838
1.69   5   1.642   3.861
1.7   5   1.653   3.884
1.71   5   1.664   3.906
1.72   5   1.675   3.928
1.73   5   1.685   3.949
1.74   5   1.695   3.97
1.75   5   1.706   3.991
1.76   5   1.715   4.011
1.77   5   1.725   4.031
1.78   5   1.735   4.05
1.79   5   1.744   4.069
1.8   5   1.753   4.088
1.81   5   1.762   4.106
1.82   5   1.771   4.124
1.83   5   1.779   4.142
1.84   5   1.788   4.159
1.85   5   1.796   4.176
1.86   5   1.804   4.192
1.87   5   1.812   4.208
1.88   5   1.82   4.224
1.89   5   1.827   4.24
1.9   5   1.835   4.255
1.91   5   1.842   4.27
1.92   5   1.849   4.284
1.93   5   1.856   4.299
1.94   5   1.863   4.313
1.95   5   1.87   4.326
1.96   5   1.877   4.34
1.97   5   1.883   4.353
1.98   5   1.889   4.366
1.99   5   1.896   4.379
2   5   1.902   4.391
2.01   5   1.908   4.403
2.02   5   1.913   4.415
2.03   5   1.919   4.427
2.04   5   1.925   4.438
2.05   5   1.93   4.45
2.06   5   1.936   4.461
2.07   5   1.941   4.471
2.08   5   1.946   4.482
2.09   5   1.951   4.492
2.1   5   1.956   4.502
2.11   5   1.961   4.512
